Wind Speed (m/s),Blade Mean (m),Blade Std Dev (m),Tower Mean (m),Tower Std Dev (m)
4,0.20378329682145432,0.058274758352995226,0.06989075168207645,0.023566042957952848
5,0.317234602783522,0.0913637706637075,0.10880068505840229,0.036387300661405414
6,0.44954394312733575,0.130058271149955,0.15417822204811604,0.05130732508663253
7,0.5809280564294915,0.16891122109465392,0.1992385902131195,0.06642253924609398
8,0.7200135029508078,0.21010587167242378,0.24694014618129215,0.08247619030211216
9,0.9113628791391686,0.2656892575224686,0.3125662819857587,0.10365096621840118
10,1.1251901179421244,0.3274795311061805,0.3859017359378874,0.12709460230848885
11,1.3615357942469546,0.39550523206499305,0.46695975191368516,0.15279673083504666
12,1.1489570789582626,0.34154988559793503,0.3940550671785101,0.1363531687301456
13,0.9794160284474991,0.2988377710616738,0.3359094847338876,0.12362105232713534
14,0.8758285445236776,0.27391337139890465,0.3003835080098002,0.1169377058383118
15,0.8062863278521728,0.2582088038010206,0.276533741993067,0.11337494956551561
16,0.7474483546578826,0.24539288303250045,0.25635466324769807,0.1107105358842496
17,0.6998977307415365,0.23557909663641505,0.24004720532009213,0.10896445627604663
18,0.6636674835595798,0.22888027175657188,0.227621832681049,0.10830313162065164
19,0.6295957778305777,0.22270466565486383,0.21593659516344482,0.10763201861821907
20,0.6035181645256642,0.21875982828278964,0.20699393092218632,0.10778691573380103
21,0.5799441267334167,0.21541116367733715,0.19890955658842288,0.10806071670050212
22,0.5628350419000847,0.21373898009479242,0.19304154444808433,0.10881962188436921
23,0.541925759695494,0.21117558107671794,0.18587199439248533,0.10928186131806547
24,0.5263166352905857,0.20985807583914404,0.18051984836507687,0.11003640935185777
25,0.5105612608285229,0.20856503044565744,0.1751168767424231,0.1108361088172284
