Wind Speed (m/s),Blade Mean (m),Blade Std Dev (m),Tower Mean (m),Tower Std Dev (m)
4,0.20066216041039373,0.020533021127840334,0.06881883720126952,0.009117821360637608
5,0.31219036767915087,0.03182763126498729,0.10706838190370489,0.013756156524344124
6,0.4422298001611153,0.045014894891633024,0.15166661793166641,0.01910131587954142
7,0.5713015938665492,0.05825431588756985,0.19593286471584753,0.02450112841562096
8,0.7079266127184572,0.07229470131475292,0.24278960573478875,0.03022414349538485
9,0.8959604901092336,0.09116354351061304,0.30727750670739595,0.037698465014544026
10,1.106099839811161,0.11214538553791412,0.37934641828190796,0.04594227592017123
11,1.338348321655449,0.13522061352112105,0.45899799187798174,0.05497076237757762
12,1.1291229440781223,0.1173482499941166,0.38724310108516874,0.04955832328485711
13,0.9623603988233341,0.10332747124741633,0.33005074086613967,0.04539765571067835
14,0.8604319480562483,0.0952536042081876,0.2950938369363905,0.04326036413729644
15,0.7920490561096563,0.09025828604035137,0.27164169702447705,0.042180014569666496
16,0.7341689255462651,0.08618470204446671,0.25179138412574814,0.04134103889346685
17,0.6874282350197415,0.08315618622499173,0.23576117885100054,0.04087682202068483
18,0.6517784752518937,0.08115104550638906,0.22353520231172805,0.04074069437501545
19,0.6182905836857359,0.07926820799268067,0.21205054938411344,0.04059425956596625
20,0.5926492378473259,0.0781401310070475,0.2032567263323154,0.040717011480424295
21,0.5694754174986955,0.07724425594953434,0.1953094313897692,0.04088929976553438
22,0.5526426166350925,0.07674643925448901,0.1895366371537675,0.04112706147179798
23,0.5321227542263106,0.07605680112242784,0.1824994362326412,0.04133599634922286
24,0.5167628854475717,0.07582037582588272,0.1772320791248292,0.04168589877106099
25,0.501261858150103,0.07549558134798685,0.17191592642111142,0.04196990432689614
